restaurant_id,name,address,rating,reviews_count,price_range,cuisine,phone,website,hours,description,dining_options,menu,thumbnail_image_url,top_commented_words,url
77a1f078d392,Caprae at Prairie Fruits Farm,"
4410 N Lincoln Ave, Champaign, IL 61822",4.6,19,N/A,N/A,(309) 204-5057,https://www.google.com/url?q=https://www.prairiefruits.com/caprae-restaurant&opi=79508299&sa=U&ved=0ahUKEwiv5Iq-9dKQAxWu5MkDHZ0oCNIQ61gIEigO&usg=AOvVaw3RPTmgBhJPriqDqlXYDrLY,N/A,Friday I enjoyed an excellent gourmet dinner at Caprae at Prairie Fruit Farm in Champaign Illinois. Before dinner I went around the barn and petted friendly goats born this year who wanted me to rub them. Then I washed my hands before …,N/A,N/A,https://lh3.googleusercontent.com/p/AF1QipO7n8ebx-DZkbgF4L9GbT9_osOHyhGlQAyxQNMj=w408-h544-k-no,dinner (5); menu (4); chef (3); selection (3); pot de creme (2); scallops (2); appetizer (2); course (2); rib (2); wine (2),https://www.google.com/maps/place/Caprae+at+Prairie+Fruits+Farm/data=!4m7!3m6!1s0x880cd96fe73e5947:0xdc9c007feb62c3a0!8m2!3d40.1623535!4d-88.209151!16s%2Fg%2F11lym0qfpf!19sChIJR1k-52_ZDIgRoMNi638AnNw?authuser=0&hl=en&rclk=1
d2e0d9529227,Eastern Illinois Foodbank,"
2405 N Shore Dr, Urbana, IL 61802",4.5,45,N/A,N/A,(217) 328-3663,https://www.google.com/url?q=https://www.eifoodbank.org/&opi=79508299&sa=U&ved=0ahUKEwiN4sXQ9dKQAxUwL9AFHZspB4EQ61gIEigO&usg=AOvVaw3xGJ1CW9xoljbHUa7P5gLV,N/A,They help charities not citizens.  I  don't understand why you can't get help here at this main location for Eastern Illinois food and. Then they shouldn't be listed on the help page.,N/A,N/A,https://lh3.googleusercontent.com/p/AF1QipM1ts0p9EkZ37DXuOHKWgEasw-TcZkrhFkitVqG=w426-h240-k-no,volunteer (5); 2022 (2); pantry (2),https://www.google.com/maps/place/Eastern+Illinois+Foodbank/data=!4m7!3m6!1s0x880cd9dea97390ab:0x72a5a251e00a59b5!8m2!3d40.1379295!4d-88.2226554!16s%2Fg%2F1tdky7tc!19sChIJq5Bzqd7ZDIgRtVkK4FGipXI?authuser=0&hl=en&rclk=1
e1a449a01c27,La Paloma Food Truck,"
2000 N Market St, Champaign, IL 61822",4.4,33,·$1–10,Restaurant,(217) 621-7284,N/A,N/A,"There was a metal scrap from the food(Super Nacho), but the guy just kept saying it was not from their kitchen. We've got a refund, but the guy was extremely unfriendly. Be aware, everyone.",Dine-in; Delivery,N/A,https://lh3.googleusercontent.com/p/AF1QipMWfE_wgWcoX5mlKqn-xe00Zr7uT7rIG0oYYAII=w408-h408-k-no,burrito (7); mexican food (3); campus (2); tortillas (2); steak (2),https://www.google.com/maps/place/La+Paloma+Food+Truck/data=!4m7!3m6!1s0x880cd7473ace020b:0x1bd1be618da53906!8m2!3d40.1377862!4d-88.238569!16s%2Fg%2F11qq4gqw4_!19sChIJCwLOOkfXDIgRBjmljWG-0Rs?authuser=0&hl=en&rclk=1
a3e9d068a50b,Napolis Italian Restaurant,"
1807 S Neil St, Champaign, IL 61820",4.6,564,·$20–30,Restaurant,(217) 600-3011,https://www.google.com/url?q=https://napolisitalianchampaign.com/&opi=79508299&sa=U&ved=0ahUKEwiwoK3y9dKQAxWpL9AFHUlXEcUQ61gIFygO&usg=AOvVaw1hVVKrrTCzgWDNFG_sICm_,"Sunday, 11 AM to 9 PM",A mixed review here- we went on a Saturday for lunch. There were only 2 other couples dining at the time we went. The waiter was super nice and very attentive. We had been wanting to check out this area because it had been a while since it …,Dine-in; No-contact delivery,https://www.google.com/url?q=https://slicelife.com/restaurants/il/champaign/61820/napoli-s-italian-restaurant-champaign/menu%3Futm_source%3Dgmb_menu&opi=79508299&sa=U&ved=0ahUKEwiwoK3y9dKQAxWpL9AFHUlXEcUQqRkIGigR&usg=AOvVaw0w1MO22xODLPyXRcEeg_yj,https://lh3.googleusercontent.com/p/AF1QipMe9yfg2tgdR07bUnyj0UJwgQBo9zPFS7kKRLIM=w408-h306-k-no,lasagna (20); tortellini (13); chicken alfredo (11); marinara sauce (10); lemoncello (9); chicken parmigiana (9); cannoli (8); spaghetti and meatballs (7); handwritten (6); stromboli (5),https://www.google.com/maps/place/Napolis+Italian+Restaurant/data=!4m7!3m6!1s0x880cd77eb320eff7:0x202d78e057f1e289!8m2!3d40.094077!4d-88.2473831!16s%2Fg%2F11vqt9m_2l!19sChIJ9-8gs37XDIgRieLxV-B4LSA?authuser=0&hl=en&rclk=1
fbad2153774f,KAMS,"
102 E Green St STE 104, Champaign, IL 61820",3.0,295,·$20–30,Bar,N/A,https://www.google.com/url?q=http://www.kamsillini.com/&opi=79508299&sa=U&ved=0ahUKEwi4mcb79dKQAxXB_8kDHX8VCQ8Q61gIFCgK&usg=AOvVaw1pXhCuXISqI1wqznRlQpzu,N/A,"Boisterous, no-frills nightspot on a university campus offering beer, mixed drinks, DJs & dancing.",Delivery,N/A,https://lh3.googleusercontent.com/p/AF1QipOPo8VaTadJa-CSUgF8-cuZa0shk219HvxCis29=w408-h408-k-no,floor (27); campus (16); college (14); shoes (9); smells (8); vomit (7); security (5); students (5); water (5); walk (5),https://www.google.com/maps/place/KAMS/data=!4m7!3m6!1s0x880cd73ef0e561f7:0x73177f097302493e!8m2!3d40.1104479!4d-88.2384036!16s%2Fg%2F1tdvf4lj!19sChIJ92Hl8D7XDIgRPkkCcwl_F3M?authuser=0&hl=en&rclk=1
63f12ef7a2ac,Quality Inn & Suites,"
305 W Marketview Dr, Champaign, IL 61822",3.5,469,·2-star hotel,N/A,(217) 318-3830,https://www.google.com/url?q=https://www.choicehotels.com/illinois/champaign/quality-inn-hotels/il066%3Fmc%3Dllgoxxpx&opi=79508299&sa=U&ved=0ahUKEwiEybyI9tKQAxWF4skDHWv-H7gQ61gIEigO&usg=AOvVaw1xXF26QrC4h5knDwMB99_T,N/A,N/A,N/A,N/A,https://lh3.googleusercontent.com/p/AF1QipNVcSvbb4POfJQs0PHhzRL4nOS9An66W4KWy0zk=w408-h326-k-no,N/A,https://www.google.com/maps/place/Quality+Inn+%26+Suites/data=!4m7!3m6!1s0x880cda0229d6cc43:0x2ff5b9c8b2543531!8m2!3d40.13674!4d-88.248393!16s%2Fg%2F1tdnxh14!19sChIJQ8zWKQLaDIgRMTVUssi59S8?authuser=0&hl=en&rclk=1
2c6b04fd8e5f,Tastee Freez,"
2102 W Springfield Ave, Champaign, IL 61821",4.1,38,·$,N/A,(217) 378-5100,https://www.google.com/url?q=http://www.tastee-freez.com/&opi=79508299&sa=U&ved=0ahUKEwiJ4vCV9tKQAxWGJNAFHbrvM_EQ61gIEygO&usg=AOvVaw0XtVjqo5XNd6sXRIFdiS6K,"Sunday, 9 AM to 9 PM",I love me some weinerschnitzel!!!! It's the only one up here in Illinois neat me. I used to go to these places all over my Lubbock Texas. Chili cheese dogs are so good. Chili cheese fries are tasty. Chili cheese burgers used to be so good …,Delivery,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw7BdH0t5Nngu0dxNXhD_Yw3LW0S4MgdGaUy1Kxp5Pa-LdLzpV1-qwmjaO3yeYXLHXS_V96LYT0LDK2RrV4p4pnCi9Fuo6ZA2agGR-FiMltA4Hb3RZ4jX8bU12SkKapxBdHgTJg=w426-h240-k-no,chili dogs (5); fries (4); prices (3),https://www.google.com/maps/place/Tastee+Freez/data=!4m7!3m6!1s0x880cd08adc66711b:0x821d8ace8256de4!8m2!3d40.1131649!4d-88.2831276!16s%2Fg%2F1trcg_k6!19sChIJG3Fm3IrQDIgR5G0l6KzYIQg?authuser=0&hl=en&rclk=1
4a6e3103e8ab,Kajiken Champaign,"
617 E Green St, Champaign, IL 61820",4.7,235,·$10–20,Ramen restaurant,(217) 628-6683,https://www.google.com/url?q=https://www.kajikenus.online/order&opi=79508299&sa=U&ved=0ahUKEwi965-h9tKQAxXv5MkDHd2WGR4Q61gIFigO&usg=AOvVaw19YImuOUh-9XaVCQcyk92g,"Sunday, 11 AM to 9 PM",A very nice ramen place. They have quite a variety of dishes to choose from. Their appetizers are also good. I ordered deep fried oysters. It was delicious!! Their Tonkotsu ramen is very flavorful. The staff here are very friendly and helpful. The atmosphere is very nice. This is a good ramen place!!!,Dine-in; Takeout; No-contact delivery,https://www.google.com/url?q=https://www.kajikenus.online/order&opi=79508299&sa=U&ved=0ahUKEwi965-h9tKQAxXv5MkDHd2WGR4QqRkIFygP&usg=AOvVaw0O_8w9mQZseor54Cj_QSl3,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzhOkJ-XZ8Gbb8ttUoJysh05f9GADGo-kvmls8mKpsP4NDyMO2_WfTVAyOFKAEj1DBsNYZB-o4A3fXl-lrzSF40ASao0pHGg8RFUTRf-L15LLjyXD6wW0CeTHdyeg2rX12VmMimNw=w408-h306-k-no,atmosphere (10); teriyaki (7); broth (6); chicken curry (5); food and service (5); tonkatsu (5); abura soba (5); spicy (5); campus (4); fried oysters (2),https://www.google.com/maps/place/Kajiken+Champaign/data=!4m7!3m6!1s0x880cd7ab457bfbf7:0xe310a022310f9be6!8m2!3d40.1101169!4d-88.2296827!16s%2Fg%2F11wc2kd6df!19sChIJ9_t7RavXDIgR5psPMSKgEOM?authuser=0&hl=en&rclk=1
b7f8b7c3e5c5,Jitters Cafe,"
Law Building, 504 E Pennsylvania Ave, Champaign, IL 61820",4.6,14,·$1–10,Cafe,N/A,N/A,N/A,"The vegan soup and croissant combo is the bomb, plus the butterfly tea. Iconic 💅🏾 …",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyRKp5dIxVK3YMTieI0R9lNjtkiZ9S5DQJ3-ReuhOrG4n7rJ4MBqpSDi67v8p4-ceqnuPj6TpMlMfbhpdPMm68d7t5r2KjEn_VNUtpm5P-XrotVE6FzPny-1B_UhVlFx89BqTtS7w=w480-h240-k-no,N/A,https://www.google.com/maps/place/Jitters+Cafe/data=!4m7!3m6!1s0x880cd71c77ea113d:0xbfc66aff96b71e2d!8m2!3d40.1010034!4d-88.2308533!16s%2Fg%2F11j24g37tr!19sChIJPRHqdxzXDIgRLR63lv9qxr8?authuser=0&hl=en&rclk=1
1495946d1941,Willow Creek Farm,"
1766 County Rd 1850, Urbana, IL 61802",4.3,50,N/A,N/A,(217) 239-3518,https://www.google.com/url?q=http://willowcreekfarmcu.com/&opi=79508299&sa=U&ved=0ahUKEwjgkr649tKQAxWFM9AFHdE7BAoQ61gIEigO&usg=AOvVaw0PmIRRCRCvKoy--Dxnlo3r,"Sunday, 9 AM to 9 PM","Delicious cocktails! Great, spacious room with dancing and plenty of tables! Unique decor. Lovely setting.",N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxjXRZSGw-EWuPy5Fx_s9pgYOe4z87Kuu5x8_mqy5LtNp40q6eA0RTyE9MW2g5TFPs56tn86Q_v7mA_D8R4See7C4enw_iD4ugQ8R6WWPJE-DOiCp4kkzsTk1oJ5g8czEnsnTlu2Q=w408-h272-k-no,wedding (11); barn (2); planning (2); morning (2); pictures (2); communication (2),https://www.google.com/maps/place/Willow+Creek+Farm/data=!4m7!3m6!1s0x880d27b57247605d:0x7e7366ae3fa5d93b!8m2!3d40.1526222!4d-88.1310729!16s%2Fg%2F11bzxbpn3r!19sChIJXWBHcrUnDYgRO9mlP65mc34?authuser=0&hl=en&rclk=1
1c4ddde64b95,Sola Gratia Farm,"
1821 E Mumford Dr, Urbana, IL 61802",4.1,14,N/A,N/A,(217) 378-0340,https://www.google.com/url?q=http://www.solagratiacsa.com/&opi=79508299&sa=U&ved=0ahUKEwjus9HL9tKQAxXs4ckDHarbOZcQ61gIEigO&usg=AOvVaw3Lvavj3N2KYJFsJRb8K3xc,N/A,"I'm a happy member of their CSA (I'm participating in both the summer and fall CSA this year). The produce my family receives is excellent and bountiful, and Sola Gratia sends out recipe suggestions via email to go along with each week's …",N/A,N/A,https://lh3.googleusercontent.com/p/AF1QipNfE3QzxbokAUhcSEr9o2Bl-Hr6_g4AzyQFcxM5=w426-h240-k-no,plant (2),https://www.google.com/maps/place/Sola+Gratia+Farm/data=!4m7!3m6!1s0x880cd64ae35fc219:0x938f48043630da52!8m2!3d40.0908361!4d-88.1837598!16s%2Fg%2F1pxw1mljh!19sChIJGcJf40rWDIgRUtowNgRIj5M?authuser=0&hl=en&rclk=1
c21f98c17cfc,Smoothie King,"
1904 S Neil St Suite 101, Champaign, IL 61820",4.4,310,·$1–10,N/A,(217) 607-2627,https://www.google.com/url?q=https://locations.smoothieking.com/ll/us/il/champaign/1904-s-neil-st/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_content%3DSOCi&opi=79508299&sa=U&ved=0ahUKEwiv243d9tKQAxWQ_8kDHRkoJkUQ61gIFigO&usg=AOvVaw3PnExcB1waz5OKp3jOjp7b,"Sunday, 10 AM to 8 PM",Health-conscious chain featuring blended drinks in varied flavors with fruits & veggies.,Dine-in; No-contact delivery,https://www.google.com/url?q=http://smoothieking.com/menu&opi=79508299&sa=U&ved=0ahUKEwiv243d9tKQAxWQ_8kDHRkoJkUQqRkIFygP&usg=AOvVaw27fL8NhGDUdD9Hs_iaZxCn,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSymr5aGcxHI-6Lr-YMDiRdNYR_dIgNsOAI1emUiuGHVSD_KfUAqVAIEnKz63bpXEO-pRvK3cGAFd3JGfjkeBKL_ydmQzQY3kCHJHn1biT6egFL780bfHPvXbnf-VqMx8GCrdYqMRw=w408-h306-k-no,drive thru (14); price (7); bananas (5); window (5); açaí bowl (3); quality (3); aftertaste (2); workers (2); peanut butter (2); 30 minutes (2),https://www.google.com/maps/place/Smoothie+King/data=!4m7!3m6!1s0x880cd72ac333eb1f:0x3adc71be2e416c1a!8m2!3d40.0928549!4d-88.2451892!16s%2Fg%2F11b_3f6smq!19sChIJH-szwyrXDIgRGmxBLr5x3Do?authuser=0&hl=en&rclk=1
